Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),label
399,5.6,70.9,29.2,7.4,16.2,119,Unbalanced
98,41.9,63.2,8.4,4.0,42.8,730,Unbalanced
239,47.7,55.5,11.5,2.1,20.1,315,Unbalanced
417,1.1,99.8,21.8,8.0,6.2,172,Balanced
592,31.4,10.6,16.7,4.0,6.5,499,Balanced
117,26.0,10.3,47.7,9.2,21.4,52,Balanced
436,8.6,78.4,37.9,6.3,41.0,510,Unbalanced
317,31.5,17.2,8.3,3.3,11.2,460,Balanced
548,43.0,55.8,48.7,4.7,3.9,784,Balanced
112,23.5,82.4,11.3,1.1,21.5,546,Unbalanced
449,3.0,68.9,47.7,1.7,37.3,841,Balanced
374,40.7,87.5,49.8,1.2,10.4,766,Unbalanced
317,24.5,12.4,31.0,6.0,0.9,617,Balanced
257,1.2,57.7,14.5,7.2,7.4,853,Unbalanced
504,40.4,16.4,25.9,3.7,43.4,726,Balanced
505,9.8,35.8,8.0,2.8,14.0,725,Unbalanced
179,34.2,43.0,16.0,8.7,46.7,747,Balanced
330,38.2,41.0,18.3,0.4,35.4,569,Balanced
115,41.7,9.6,24.6,5.1,41.6,734,Unbalanced
109,34.1,62.1,14.4,5.9,21.0,362,Unbalanced
195,22.9,62.8,47.9,4.4,14.4,789,Unbalanced
463,33.0,78.2,36.4,8.5,38.4,20,Balanced
96,48.2,15.3,43.4,7.6,37.5,243,Balanced
525,40.0,36.0,5.2,2.7,23.0,120,Balanced
545,21.7,80.1,5.4,6.1,15.6,750,Balanced
180,47.8,57.1,35.4,6.6,42.2,446,Unbalanced
212,2.8,62.1,37.7,9.0,37.2,342,Balanced
443,43.0,19.4,28.2,8.6,40.7,387,Balanced
306,22.7,97.4,11.3,2.2,1.3,357,Balanced
357,36.2,28.2,22.7,0.5,37.0,437,Unbalanced
251,22.9,50.1,17.0,0.6,38.3,839,Unbalanced
186,46.7,30.4,23.5,8.9,5.6,884,Balanced
367,3.1,30.6,8.5,0.8,21.5,846,Balanced
132,48.8,41.9,37.1,6.5,39.9,363,Unbalanced
369,25.7,31.8,19.8,4.0,28.2,154,Balanced
376,9.3,45.3,27.7,9.0,5.6,445,Balanced
358,16.0,11.9,49.2,5.4,33.8,703,Balanced
331,13.5,23.4,15.5,6.8,44.7,517,Balanced
92,28.5,35.9,48.1,4.0,36.6,168,Unbalanced
353,22.0,61.5,38.4,2.8,21.6,325,Balanced
392,25.2,56.0,15.3,0.2,2.9,25,Balanced
444,18.7,86.0,25.6,4.0,27.6,476,Balanced
71,20.0,40.9,15.4,4.2,18.1,168,Unbalanced
464,5.6,11.3,32.5,4.6,30.2,751,Unbalanced
592,6.0,46.3,7.3,3.7,42.5,670,Unbalanced
80,1.2,84.8,10.8,4.7,9.7,486,Unbalanced
108,34.2,78.0,41.0,2.6,30.3,737,Unbalanced
358,31.5,42.0,13.9,2.3,39.6,362,Balanced
237,23.2,34.5,24.3,6.9,45.4,488,Balanced
296,45.1,28.9,28.9,3.8,18.8,797,Unbalanced
535,13.0,65.6,4.5,4.9,33.7,537,Balanced
410,20.4,13.8,23.2,3.7,46.1,99,Balanced
221,8.9,34.3,19.1,9.5,16.1,579,Balanced
489,28.0,26.7,44.9,1.7,13.5,157,Balanced
172,22.8,93.8,24.4,7.6,19.2,608,Unbalanced
429,34.7,95.0,18.3,3.8,31.9,164,Balanced
560,32.6,61.5,18.9,7.7,26.4,574,Balanced
170,44.5,66.0,4.5,4.4,10.7,774,Balanced
149,16.2,53.3,18.5,7.2,1.4,373,Unbalanced
88,14.3,53.0,23.1,3.3,40.1,853,Unbalanced
476,46.1,69.9,19.6,4.0,46.3,442,Balanced
258,8.5,88.1,11.5,6.1,48.0,146,Balanced
272,44.7,33.2,45.9,7.2,16.9,541,Balanced
585,34.1,89.5,8.2,7.5,15.5,192,Balanced
303,41.8,12.0,37.7,7.6,40.3,208,Unbalanced
480,7.3,35.0,26.4,4.7,34.0,484,Unbalanced
119,21.5,79.6,25.9,3.9,37.9,576,Unbalanced
219,12.1,17.1,22.7,8.9,36.8,949,Balanced
336,49.2,99.3,18.4,1.6,37.1,328,Unbalanced
193,29.9,53.8,24.4,9.8,34.8,886,Balanced
447,45.1,88.5,5.2,6.7,0.3,269,Unbalanced
596,40.8,97.0,19.8,5.8,19.4,971,Balanced
523,24.1,39.8,10.1,6.9,35.1,933,Balanced
187,21.4,7.4,24.6,2.8,18.2,714,Unbalanced
325,13.6,79.3,28.8,2.9,27.5,137,Balanced
149,34.4,51.5,40.6,1.1,43.5,419,Unbalanced
528,49.4,34.2,41.0,4.3,45.1,891,Unbalanced
52,19.3,7.2,44.2,3.1,17.0,825,Balanced
251,5.8,80.9,18.9,8.7,21.6,760,Balanced
358,43.5,73.1,8.9,9.4,42.9,30,Balanced
313,25.4,63.2,27.2,3.9,43.9,266,Balanced
186,39.6,38.1,2.1,1.4,8.2,771,Unbalanced
73,13.3,85.4,19.0,5.4,45.6,478,Unbalanced
399,9.8,26.1,41.5,6.0,40.6,722,Unbalanced
413,4.6,58.6,43.3,5.7,5.5,19,Balanced
581,25.1,62.3,12.8,8.3,42.6,962,Balanced
495,26.4,66.4,10.3,2.7,17.1,613,Balanced
187,38.1,61.4,30.5,8.5,40.8,559,Balanced
355,32.4,20.9,25.2,3.4,13.5,977,Unbalanced
555,31.4,75.4,7.8,9.6,13.3,239,Balanced
326,12.2,65.4,13.6,3.4,36.9,431,Balanced
376,11.8,44.1,37.9,0.6,41.2,792,Balanced
579,19.6,30.1,18.8,4.7,39.5,382,Balanced
206,19.9,92.9,22.9,9.9,25.9,660,Balanced
163,36.7,37.4,3.9,2.5,29.9,826,Balanced
558,6.5,87.9,45.3,5.2,20.2,137,Balanced
156,39.4,24.1,28.4,3.9,7.5,858,Balanced
283,34.9,98.5,40.2,6.6,31.8,647,Unbalanced
490,45.6,18.4,43.7,4.6,37.0,836,Unbalanced
260,5.7,34.6,45.5,3.8,37.6,690,Balanced
441,43.1,59.1,18.6,6.1,16.2,256,Balanced
70,47.7,45.6,43.4,4.4,33.8,87,Unbalanced
109,12.9,22.3,47.9,4.5,15.7,687,Unbalanced
307,3.4,32.9,37.0,9.6,41.9,564,Balanced
561,8.2,72.1,36.1,8.4,11.4,681,Balanced
54,32.7,91.4,49.2,6.8,36.5,598,Unbalanced
491,19.5,58.8,42.6,5.9,7.4,889,Balanced
598,31.4,45.7,47.2,3.1,21.0,73,Balanced
458,13.1,35.1,31.2,8.7,1.6,174,Balanced
89,33.4,85.4,13.8,9.4,49.4,205,Balanced
184,42.2,26.4,40.7,4.6,43.5,330,Balanced
237,20.7,51.6,39.5,6.6,1.5,111,Balanced
453,28.9,16.2,2.5,6.4,8.2,89,Balanced
364,22.2,90.4,46.5,4.0,2.2,788,Balanced
509,19.7,24.6,42.1,4.6,46.1,28,Balanced
301,17.5,90.1,32.4,5.6,5.0,920,Balanced
527,47.8,18.2,38.5,6.2,15.8,877,Unbalanced
444,28.2,59.9,5.3,8.9,8.7,449,Balanced
513,12.2,93.0,17.9,8.8,26.2,885,Balanced
508,2.6,77.5,5.4,0.4,16.4,148,Balanced
504,13.5,68.1,7.7,8.7,4.6,217,Balanced
217,32.8,54.2,13.6,7.3,33.3,162,Unbalanced
266,36.7,32.8,8.0,1.0,30.5,582,Balanced
227,6.2,17.0,29.2,6.4,7.2,208,Balanced
203,18.3,45.8,35.4,8.9,26.3,105,Balanced
461,26.8,62.8,43.7,5.0,3.8,518,Balanced
552,27.0,95.7,36.7,1.5,40.3,241,Balanced
440,46.0,18.8,6.6,4.4,32.1,428,Unbalanced
170,20.7,57.7,36.9,6.0,15.2,602,Unbalanced
573,10.1,97.1,7.5,1.2,1.2,499,Unbalanced
95,31.7,22.4,39.5,8.7,0.5,233,Balanced
113,42.7,98.3,16.8,0.3,2.6,145,Unbalanced
236,1.2,34.7,40.0,8.6,13.7,342,Balanced
248,4.4,75.7,38.3,3.5,4.3,28,Unbalanced
362,5.8,65.7,26.6,8.0,33.8,893,Balanced
161,38.3,53.6,4.8,9.3,25.6,348,Balanced
385,47.0,46.1,37.0,2.0,1.7,501,Balanced
472,3.6,71.1,11.5,1.3,21.8,123,Balanced
263,29.9,22.2,43.6,9.9,49.5,464,Balanced
590,10.9,69.9,32.3,9.4,22.0,359,Balanced
546,10.1,82.7,4.9,3.1,44.3,978,Balanced
507,13.5,84.7,17.0,8.1,37.5,958,Balanced
392,19.9,54.9,36.6,3.7,42.4,660,Balanced
463,42.3,20.1,25.2,2.6,15.3,423,Unbalanced
571,8.8,71.1,5.8,2.5,7.0,352,Balanced
478,27.5,26.5,12.5,4.8,37.5,921,Balanced
253,23.8,98.7,14.9,5.7,13.6,402,Unbalanced
137,4.9,10.7,2.5,2.8,9.8,863,Balanced
181,36.1,86.2,37.0,4.4,1.7,89,Unbalanced
406,5.7,59.6,17.6,6.7,33.2,611,Balanced
87,24.3,58.0,24.7,6.1,22.7,538,Unbalanced
390,10.1,54.4,45.5,9.1,28.5,792,Balanced
284,42.5,94.0,15.6,6.7,0.7,756,Unbalanced
461,15.3,99.2,11.7,5.7,49.4,904,Balanced
162,2.0,75.1,16.6,3.8,20.5,67,Unbalanced
196,44.6,85.8,26.8,6.1,38.9,781,Unbalanced
363,25.2,94.1,47.7,4.5,5.6,534,Balanced
349,3.9,97.6,2.4,9.1,49.1,323,Balanced
420,23.7,20.2,19.6,3.4,49.8,399,Balanced
233,10.7,32.6,38.9,6.1,24.7,191,Balanced
212,17.9,73.3,12.4,6.4,11.1,74,Balanced
507,6.8,40.8,27.3,2.8,31.0,90,Unbalanced
579,27.7,33.3,42.6,2.0,9.3,289,Balanced
218,3.2,75.3,40.7,9.1,29.6,342,Balanced
455,36.6,98.6,14.9,3.9,47.4,388,Balanced
223,40.6,13.1,15.0,3.0,27.4,176,Unbalanced
547,31.2,26.0,41.3,2.5,17.7,538,Balanced
389,22.8,77.0,2.4,0.7,48.3,131,Balanced
240,26.3,48.2,21.8,9.1,14.0,151,Balanced
535,23.4,7.7,23.2,9.5,10.4,737,Balanced
449,32.0,14.8,8.2,1.3,10.8,603,Balanced
558,3.1,32.3,2.7,7.8,5.6,960,Unbalanced
120,17.1,90.9,25.3,1.3,32.7,823,Unbalanced
59,45.7,21.9,19.9,8.4,9.5,817,Balanced
571,20.3,83.7,10.0,0.8,27.1,812,Balanced
483,22.2,99.3,3.9,6.4,25.8,92,Balanced
231,21.7,16.1,30.2,7.0,13.1,865,Unbalanced
53,18.9,20.3,42.0,3.9,31.7,13,Unbalanced
400,34.1,38.9,11.7,8.1,36.8,265,Balanced
181,42.4,25.5,17.8,1.4,9.1,592,Balanced
93,23.5,65.2,34.3,4.4,48.2,867,Unbalanced
475,48.9,64.9,32.9,3.0,43.8,539,Balanced
362,46.7,19.3,40.1,9.3,17.5,213,Balanced
75,37.5,44.7,10.2,4.9,3.6,43,Unbalanced
421,43.2,6.0,26.1,8.5,4.9,273,Balanced
457,49.5,68.9,34.0,5.1,12.7,47,Balanced
367,9.1,29.8,43.2,2.9,14.2,230,Unbalanced
232,45.3,77.5,48.9,7.9,5.0,825,Unbalanced
71,31.5,35.5,34.7,7.2,2.6,807,Unbalanced
264,1.6,64.4,28.6,7.6,45.8,431,Unbalanced
499,32.3,39.5,44.1,2.7,46.1,878,Balanced
395,23.4,60.7,34.2,1.4,38.9,434,Balanced
339,17.8,72.0,24.7,9.0,5.7,884,Balanced
218,33.5,6.6,14.1,9.0,27.2,457,Balanced
175,5.2,84.0,37.0,3.6,6.9,338,Balanced
241,18.7,67.7,11.8,1.0,8.8,212,Balanced
554,9.4,65.4,27.7,2.6,13.3,284,Balanced
158,19.4,62.3,12.7,5.7,41.5,703,Unbalanced
146,30.3,95.4,38.8,5.0,27.0,849,Unbalanced
465,21.7,29.8,18.5,8.3,27.9,587,Balanced
421,6.7,95.5,40.6,2.0,20.7,24,Unbalanced
540,30.1,99.0,38.9,8.0,0.4,308,Balanced
113,2.3,39.7,48.3,2.9,49.3,488,Unbalanced
238,17.8,10.4,5.1,4.2,33.9,608,Balanced
497,10.7,61.4,18.5,2.5,28.7,802,Balanced
168,33.3,66.1,34.1,5.6,19.5,198,Unbalanced
250,19.8,45.0,31.9,0.2,14.5,639,Balanced
446,22.4,54.7,48.3,1.1,36.5,559,Balanced
255,15.8,81.0,28.8,3.7,42.5,299,Balanced
227,36.0,24.1,34.9,2.7,32.5,623,Unbalanced
103,9.9,74.4,44.4,6.7,33.6,516,Unbalanced
279,3.2,7.6,25.5,1.6,31.4,265,Unbalanced
109,49.5,72.5,36.9,5.5,47.5,528,Unbalanced
515,3.5,92.3,19.1,0.7,34.0,581,Balanced
80,19.5,78.7,49.3,0.1,5.9,987,Unbalanced
180,34.9,85.8,16.8,3.8,18.7,171,Unbalanced
546,46.2,84.9,15.5,7.7,36.1,158,Balanced
321,18.9,27.8,20.8,4.8,18.1,378,Balanced
174,29.7,95.0,14.7,2.7,37.4,314,Unbalanced
226,34.0,53.3,47.2,2.5,42.2,635,Unbalanced
491,40.1,98.6,10.1,9.8,36.0,886,Balanced
597,36.0,86.6,40.2,7.0,11.1,939,Balanced
434,37.6,91.3,38.3,8.0,17.5,417,Balanced
548,20.6,97.1,7.7,2.8,10.0,279,Balanced
113,39.1,22.4,6.3,0.1,29.1,938,Unbalanced
530,43.8,89.8,45.7,7.1,49.8,146,Balanced
425,48.1,18.5,4.0,8.4,28.7,182,Balanced
253,7.1,17.7,9.8,2.0,12.9,642,Balanced
349,5.7,65.1,31.0,4.9,45.1,894,Unbalanced
389,2.7,30.8,19.3,0.2,13.1,524,Unbalanced
543,19.0,99.0,42.6,8.2,6.8,646,Balanced
380,28.7,5.7,28.9,4.4,26.2,331,Balanced
510,3.5,31.3,45.5,5.0,28.6,279,Unbalanced
252,16.2,98.5,4.6,1.0,30.6,819,Balanced
328,19.0,77.2,13.6,6.2,16.7,951,Balanced
63,37.8,97.7,32.9,1.5,49.0,974,Unbalanced
78,19.2,77.6,37.2,0.1,30.1,743,Unbalanced
375,34.3,88.9,26.4,9.1,35.7,79,Balanced
378,31.5,73.7,26.5,6.4,27.0,901,Balanced
335,9.4,9.9,6.2,6.7,15.3,147,Balanced
274,36.7,70.8,37.0,3.6,23.9,863,Unbalanced
149,7.3,48.1,7.0,4.6,10.5,427,Balanced
333,32.3,70.8,15.7,5.6,13.2,540,Unbalanced
484,19.6,58.2,32.5,8.4,48.2,289,Balanced
165,50.0,60.4,35.5,9.4,32.5,165,Balanced
404,23.8,7.9,15.0,3.8,8.6,995,Balanced
387,10.7,93.8,42.1,9.4,37.2,495,Balanced
238,46.5,62.1,11.4,0.5,32.7,639,Unbalanced
215,3.0,29.8,5.7,8.2,7.0,50,Balanced
276,6.2,41.4,23.5,1.4,21.0,716,Balanced
373,1.5,49.1,28.9,9.6,10.9,824,Balanced
409,15.2,15.6,17.0,0.5,37.1,554,Balanced
502,36.8,76.5,39.1,3.8,44.8,445,Balanced
368,31.8,94.5,31.2,1.3,22.0,536,Balanced
366,43.0,93.0,32.4,0.9,43.1,795,Unbalanced
222,9.9,54.0,28.7,8.4,9.3,792,Balanced
348,16.8,21.2,29.5,1.2,22.6,568,Balanced
549,11.9,82.9,38.5,4.2,3.4,404,Balanced
572,28.6,79.9,24.0,3.5,37.1,745,Balanced
158,18.4,48.1,46.8,5.4,20.0,803,Unbalanced
164,16.5,40.0,19.0,0.2,47.0,518,Unbalanced
331,5.6,92.4,17.1,4.5,28.0,185,Unbalanced
564,10.1,92.5,11.9,3.1,49.8,479,Unbalanced
303,10.8,73.3,4.4,1.5,26.6,764,Balanced
287,27.4,11.0,2.9,5.4,8.8,433,Unbalanced
201,14.7,87.2,12.3,8.0,4.2,720,Balanced
571,44.1,49.3,24.4,1.0,45.2,376,Balanced
259,18.2,53.6,21.1,8.5,36.0,980,Balanced
285,10.2,7.0,43.9,7.6,3.9,853,Balanced
361,27.7,19.5,12.8,5.7,42.1,95,Balanced
242,22.3,99.6,41.7,7.2,45.9,81,Unbalanced
469,33.4,26.9,35.4,2.8,4.4,200,Balanced
437,30.2,13.3,11.4,6.6,20.6,353,Balanced
108,43.1,11.7,4.2,5.1,1.5,681,Unbalanced
71,5.8,11.7,13.8,1.1,8.0,696,Balanced
519,35.3,21.5,9.0,0.8,26.9,500,Balanced
106,48.0,8.2,2.6,7.2,23.3,763,Balanced
391,39.5,6.8,30.9,4.0,19.3,881,Unbalanced
433,26.5,95.7,45.3,2.7,39.8,144,Balanced
561,12.9,75.7,40.7,8.8,29.8,447,Balanced
302,23.2,12.0,48.7,7.1,2.6,682,Balanced
373,41.8,21.2,48.7,6.9,5.2,434,Unbalanced
446,9.7,55.1,17.7,5.1,14.5,708,Balanced
426,8.6,7.4,48.6,1.6,49.8,683,Unbalanced
95,24.2,26.4,20.9,3.5,19.0,478,Unbalanced
188,23.8,24.6,19.5,0.5,14.6,915,Balanced
129,15.2,85.3,10.7,6.9,21.5,793,Unbalanced
419,7.4,17.5,41.7,9.2,25.2,393,Balanced
311,32.6,69.3,4.0,8.0,4.6,293,Balanced
189,29.2,63.4,22.9,4.4,2.5,789,Unbalanced
308,21.7,43.9,19.2,1.0,17.6,726,Balanced
84,10.2,71.9,5.1,2.2,30.1,637,Unbalanced
551,10.2,49.8,2.1,8.7,43.2,784,Balanced
134,24.6,77.9,47.0,3.1,47.5,371,Unbalanced
133,37.3,8.7,17.9,2.6,49.1,481,Unbalanced
386,45.0,16.9,9.8,7.9,12.5,360,Balanced
196,45.4,84.3,42.1,2.7,19.6,309,Unbalanced
445,37.8,9.5,22.6,6.6,8.1,80,Balanced
450,3.4,49.6,20.8,2.9,16.2,26,Unbalanced
59,23.9,48.3,22.3,1.3,7.7,204,Unbalanced
371,35.5,43.2,33.6,7.7,48.6,253,Balanced
569,6.3,98.0,5.8,7.9,34.6,71,Unbalanced
420,2.2,41.1,29.3,2.5,39.6,470,Unbalanced
150,48.8,95.4,16.3,0.0,13.8,174,Unbalanced
506,24.4,73.2,8.4,0.6,31.7,215,Balanced
197,19.4,22.3,22.6,0.2,39.0,324,Balanced
71,28.3,23.9,46.6,9.4,46.5,729,Balanced
371,48.6,13.8,41.9,2.2,21.4,338,Unbalanced
389,40.5,86.0,46.3,1.6,41.0,802,Unbalanced
250,13.1,44.6,20.1,2.2,12.1,807,Balanced
307,43.4,26.0,47.6,3.2,34.4,187,Unbalanced
495,16.3,64.3,10.1,2.1,47.6,623,Balanced
133,20.1,94.2,22.0,7.3,33.5,245,Unbalanced
50,28.9,96.8,7.6,2.9,29.6,217,Unbalanced
456,26.1,64.0,14.9,3.5,9.9,426,Balanced
373,17.2,54.9,28.8,4.8,4.4,626,Balanced
95,19.6,30.2,35.1,5.1,41.6,169,Unbalanced
115,25.8,33.5,42.7,9.8,38.3,444,Balanced
528,6.6,69.9,43.8,5.4,32.8,296,Balanced
226,17.0,90.0,14.3,1.5,32.5,921,Balanced
68,47.4,48.5,32.1,9.2,34.8,239,Balanced
270,10.8,9.0,27.6,2.0,27.8,52,Balanced
311,12.6,93.2,17.2,5.7,44.5,618,Balanced
439,46.9,34.8,23.1,6.5,23.1,983,Unbalanced
532,43.0,98.4,45.4,0.6,21.8,29,Balanced
446,47.3,31.2,49.6,5.2,44.9,270,Unbalanced
330,5.6,78.9,32.5,8.7,27.3,850,Balanced
500,25.4,97.5,16.5,0.1,42.8,242,Balanced
78,41.2,78.3,8.1,8.3,42.4,361,Balanced
276,12.8,91.6,17.3,9.5,26.9,307,Balanced
514,10.4,33.5,37.2,1.2,26.6,566,Unbalanced
352,40.3,57.1,8.0,9.2,7.4,447,Balanced
528,29.6,13.5,29.8,5.1,47.2,704,Balanced
423,3.4,50.1,46.1,1.3,43.0,201,Balanced
221,20.7,92.6,47.2,2.3,19.5,232,Unbalanced
146,31.3,23.2,26.1,5.3,5.5,490,Balanced
64,11.6,92.1,47.8,8.5,31.6,744,Balanced
476,29.6,57.5,24.1,1.7,1.3,825,Balanced
297,45.9,40.5,35.1,9.1,49.1,584,Balanced
445,12.9,21.7,29.2,0.7,34.0,131,Balanced
425,42.7,73.2,1.3,8.5,9.8,628,Balanced
488,1.2,77.8,31.7,9.1,13.4,610,Balanced
359,31.9,69.6,27.3,3.2,9.8,153,Unbalanced
497,12.4,40.1,24.6,1.9,16.2,32,Unbalanced
423,13.8,18.8,48.1,1.3,0.8,821,Balanced
343,23.8,79.3,35.9,4.8,40.9,303,Balanced
245,7.4,29.2,43.8,0.5,28.1,40,Balanced
568,25.0,43.4,29.0,0.9,45.6,973,Balanced
534,5.9,68.0,26.0,6.1,46.4,528,Balanced
328,23.1,41.7,47.2,2.7,3.6,913,Balanced
594,22.2,49.5,39.2,0.4,43.7,459,Balanced
148,36.8,20.5,47.0,6.0,31.8,706,Balanced
438,9.1,31.2,6.4,0.9,24.7,682,Unbalanced
575,12.4,53.0,21.4,4.2,32.2,246,Balanced
323,7.2,26.4,25.3,1.8,42.2,738,Unbalanced
148,1.9,60.6,40.8,5.4,32.3,217,Unbalanced
416,31.8,70.4,2.9,1.2,2.4,190,Balanced
363,21.1,86.1,31.5,0.1,27.8,159,Balanced
246,36.7,18.4,7.0,6.4,5.2,686,Balanced
200,28.9,82.8,49.6,10.0,18.2,776,Balanced
407,47.0,14.7,11.9,7.2,2.0,684,Balanced
420,6.8,89.0,1.6,8.6,33.8,932,Balanced
421,20.8,41.0,37.6,8.4,20.7,572,Balanced
321,40.8,52.2,15.2,7.0,11.1,289,Unbalanced
529,13.7,95.3,5.1,5.2,32.7,871,Balanced
127,44.1,47.5,21.4,3.7,5.7,867,Unbalanced
255,37.0,62.8,11.9,2.1,33.3,376,Unbalanced
70,48.9,30.4,4.2,3.5,30.0,903,Unbalanced
589,1.0,86.3,28.1,1.1,7.1,119,Balanced
287,4.2,82.1,16.5,3.7,5.0,624,Unbalanced
91,45.3,5.7,30.0,7.9,20.3,920,Unbalanced
258,18.1,25.5,26.3,4.6,14.7,48,Balanced
286,28.2,12.0,23.8,5.4,34.4,934,Unbalanced
318,35.6,50.6,15.8,4.0,17.3,432,Balanced
588,31.4,49.2,34.1,7.9,17.1,409,Balanced
185,36.0,99.9,12.6,1.1,20.3,106,Unbalanced
455,4.9,7.3,34.7,4.5,9.9,995,Unbalanced
96,12.9,38.9,21.4,8.2,6.1,921,Balanced
178,21.0,74.7,14.5,0.3,12.9,403,Unbalanced
248,10.9,68.7,5.0,1.8,41.5,15,Balanced
392,30.2,67.3,8.1,8.3,7.2,707,Balanced
452,6.7,82.6,16.9,3.9,14.3,785,Balanced
250,47.1,19.1,37.1,8.7,44.7,686,Balanced
397,22.5,90.6,24.5,5.8,12.0,775,Balanced
459,40.5,21.1,5.6,3.4,42.6,77,Unbalanced
544,40.0,70.9,32.4,1.5,26.7,936,Balanced
69,23.7,31.2,7.3,0.1,31.0,575,Unbalanced
580,2.2,39.1,17.0,6.5,34.2,195,Balanced
456,12.7,50.7,6.4,9.6,24.8,221,Balanced
346,23.8,72.8,22.4,1.8,32.9,450,Balanced
481,32.0,83.2,13.8,6.9,37.6,983,Balanced
66,13.8,71.6,27.2,8.6,20.0,952,Balanced
208,6.3,62.0,17.1,5.3,4.6,71,Balanced
348,14.7,25.6,50.0,8.6,27.7,216,Balanced
578,41.7,16.0,31.8,0.9,28.4,116,Balanced
160,9.4,45.4,34.8,3.5,4.4,279,Balanced
252,15.6,16.5,39.0,7.3,8.0,469,Balanced
328,3.5,47.7,28.1,2.8,24.2,286,Balanced
80,21.3,47.1,30.7,5.8,18.6,575,Unbalanced
261,48.0,79.1,24.7,5.4,14.4,400,Unbalanced
164,31.0,76.4,11.8,9.9,7.0,984,Balanced
434,26.7,51.8,32.1,2.0,35.8,593,Balanced
257,19.2,19.9,48.4,2.3,21.1,281,Balanced
383,32.6,8.3,32.4,7.7,13.6,86,Balanced
273,19.2,73.7,24.5,8.0,4.0,742,Balanced
472,20.5,80.4,29.0,8.7,39.8,446,Balanced
190,35.1,69.5,35.1,9.9,33.7,146,Balanced
566,6.6,19.3,29.0,2.6,47.1,959,Unbalanced
464,14.8,60.8,33.2,6.4,40.4,818,Balanced
599,23.4,73.6,46.2,0.6,39.0,609,Balanced
386,10.7,51.3,26.4,0.1,48.7,723,Balanced
78,14.0,6.5,46.7,4.4,0.0,384,Unbalanced
100,47.4,95.4,31.3,9.3,46.6,200,Balanced
446,22.3,8.9,9.5,1.3,1.3,361,Balanced
555,20.4,99.1,6.5,0.3,35.5,681,Balanced
193,19.8,72.8,6.8,9.4,43.5,208,Balanced
506,26.9,7.7,16.0,6.5,30.8,37,Balanced
297,4.3,23.6,20.4,6.6,49.1,49,Unbalanced
304,2.2,10.0,23.6,0.9,24.1,337,Unbalanced
529,12.8,70.9,15.1,9.1,5.0,937,Balanced
70,35.3,38.4,18.7,2.2,35.2,672,Unbalanced
359,14.0,99.3,46.6,4.0,20.4,269,Balanced
437,2.2,73.9,19.1,3.7,41.0,998,Unbalanced
471,40.4,70.8,10.7,7.9,1.6,359,Balanced
497,22.7,5.7,4.0,9.1,33.9,564,Balanced
277,14.9,77.9,42.0,8.3,48.1,900,Balanced
441,46.2,80.7,35.8,8.1,17.9,959,Balanced
290,14.1,68.7,14.7,1.6,42.0,865,Balanced
421,37.6,95.3,26.0,10.0,36.9,444,Balanced
224,31.7,57.8,24.4,6.9,27.8,759,Unbalanced
321,44.9,99.1,6.9,3.2,48.0,478,Unbalanced
409,19.9,36.2,22.9,6.3,1.6,695,Balanced
493,32.0,14.1,46.1,7.6,40.1,67,Balanced
520,12.7,99.4,25.8,8.0,44.2,512,Balanced
107,3.7,43.2,26.6,6.8,7.6,188,Balanced
444,12.0,32.8,15.0,8.9,37.7,402,Balanced
549,2.5,89.0,18.0,6.3,33.6,54,Balanced
485,36.0,59.4,36.4,7.5,1.2,56,Balanced
158,18.1,44.3,48.8,6.3,19.1,137,Unbalanced
515,26.7,67.7,30.7,5.0,10.5,839,Balanced
214,24.0,27.9,36.7,9.9,19.1,87,Balanced
385,2.9,82.6,18.3,6.5,35.8,307,Unbalanced
446,23.2,70.3,5.3,2.1,32.9,781,Balanced
310,36.4,84.4,29.9,6.3,35.1,721,Unbalanced
114,25.1,45.9,46.6,2.1,7.8,627,Unbalanced
409,29.9,61.2,25.5,5.1,23.1,733,Balanced
315,19.7,83.8,15.0,0.9,30.1,551,Balanced
542,31.6,91.4,24.8,4.1,6.8,521,Balanced
225,3.8,86.5,39.4,8.9,38.2,234,Balanced
147,40.5,85.8,31.9,4.6,13.1,259,Unbalanced
375,36.0,92.3,23.2,3.7,26.2,409,Unbalanced
115,16.8,83.0,12.1,7.1,40.7,316,Unbalanced
394,3.6,66.9,3.1,0.7,17.7,869,Unbalanced
195,31.2,66.8,35.2,4.7,38.5,729,Unbalanced
314,6.8,32.6,48.7,2.0,9.2,768,Unbalanced
292,11.6,40.3,27.2,7.0,20.9,350,Balanced
199,26.9,99.9,43.8,4.9,30.2,237,Unbalanced
95,17.9,11.1,41.4,6.3,41.5,65,Balanced
463,46.5,26.0,18.4,5.8,26.4,145,Unbalanced
229,4.1,36.0,21.1,2.0,22.5,875,Balanced
74,17.6,85.4,40.8,0.0,16.1,627,Unbalanced
414,41.2,91.0,48.0,4.9,11.8,489,Unbalanced
265,45.5,80.6,2.3,8.2,13.7,704,Balanced
570,8.5,61.2,32.6,5.2,34.8,408,Unbalanced
579,14.9,99.9,7.8,4.9,40.1,530,Balanced
63,5.9,88.4,6.0,1.3,45.2,779,Unbalanced
128,41.2,38.0,18.3,7.3,36.7,7,Unbalanced
305,8.4,94.3,30.7,1.6,22.5,526,Balanced
400,40.4,60.1,28.9,4.2,49.6,487,Balanced
