Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),label
155,44.6,71.6,45.0,8.4,2.2,198,Balanced
547,11.5,87.3,11.8,5.1,33.2,27,Balanced
481,27.1,13.7,25.0,2.4,20.7,28,Unbalanced
130,39.7,63.1,41.7,4.3,38.3,984,Unbalanced
262,38.4,99.3,38.5,5.5,33.3,262,Unbalanced
191,24.5,49.2,38.1,4.2,17.5,482,Unbalanced
600,19.6,97.4,25.9,4.1,3.2,187,Balanced
196,41.9,71.0,41.6,1.6,27.6,598,Unbalanced
400,38.5,98.4,5.9,8.0,31.9,432,Unbalanced
477,9.9,24.4,49.3,0.7,46.5,549,Unbalanced
485,2.4,38.2,23.1,8.8,3.4,128,Balanced
310,35.2,6.6,28.1,0.6,40.9,512,Unbalanced
57,22.8,83.7,1.9,9.2,15.6,602,Balanced
451,32.9,95.5,25.7,0.7,22.3,250,Unbalanced
104,28.6,19.7,39.7,2.1,49.1,531,Unbalanced
112,35.7,84.2,25.3,9.6,15.1,782,Unbalanced
128,42.4,27.6,42.6,7.0,6.4,741,Unbalanced
153,21.9,69.0,24.1,3.9,39.5,47,Unbalanced
586,13.8,38.7,31.6,6.1,38.2,711,Unbalanced
440,38.7,67.5,17.9,6.3,33.0,769,Balanced
446,5.2,18.2,48.4,6.0,30.6,626,Unbalanced
101,13.8,60.5,11.3,4.8,42.1,385,Unbalanced
314,33.6,19.2,4.1,8.5,45.2,550,Unbalanced
577,1.5,55.0,25.5,6.1,38.0,941,Unbalanced
173,17.2,79.5,26.0,5.6,10.6,340,Unbalanced
496,2.4,51.5,46.9,7.7,47.2,429,Unbalanced
140,23.3,37.6,24.9,8.6,42.6,604,Unbalanced
117,40.3,86.7,7.9,5.9,29.6,904,Unbalanced
520,31.0,33.3,35.8,6.6,15.2,823,Balanced
550,46.2,14.9,14.4,4.8,0.6,723,Balanced
248,2.1,57.1,40.4,3.2,47.4,63,Unbalanced
429,15.3,71.2,26.6,2.9,28.8,586,Unbalanced
488,47.4,77.1,32.8,5.8,29.0,517,Balanced
60,38.1,11.3,4.7,2.2,19.9,177,Unbalanced
474,12.5,28.6,33.9,5.7,33.4,335,Balanced
319,36.0,41.5,1.3,8.8,0.2,7,Balanced
586,8.0,34.8,12.2,1.7,32.2,403,Unbalanced
274,29.9,67.8,23.1,6.3,45.9,812,Unbalanced
146,10.3,49.5,9.2,2.0,14.6,210,Unbalanced
493,43.2,64.5,21.0,9.6,4.5,164,Balanced
500,34.4,83.4,38.9,2.2,24.7,338,Unbalanced
385,44.2,11.8,31.2,3.3,17.6,948,Unbalanced
388,27.8,98.4,17.4,3.7,25.0,207,Balanced
175,3.9,45.1,47.8,9.3,38.9,506,Unbalanced
259,16.7,49.1,23.7,3.5,21.1,827,Balanced
189,42.1,98.0,37.1,7.0,8.8,21,Unbalanced
229,24.3,15.5,41.9,0.5,33.3,798,Unbalanced
122,10.6,62.8,42.9,6.3,30.1,446,Balanced
352,3.8,25.7,26.5,4.3,36.1,354,Unbalanced
82,48.5,11.6,5.9,4.4,45.7,264,Balanced
484,28.8,89.7,42.9,5.3,31.5,133,Balanced
267,23.6,40.5,43.2,3.6,10.8,633,Balanced
158,38.2,32.5,17.7,3.8,47.9,879,Unbalanced
139,48.7,40.7,9.0,2.0,17.1,165,Unbalanced
575,2.6,39.9,9.0,6.0,6.4,575,Balanced
387,2.8,38.2,12.3,9.9,11.9,840,Balanced
165,28.9,98.1,23.8,2.4,22.9,824,Unbalanced
301,21.8,60.3,24.2,0.0,27.0,643,Unbalanced
470,37.7,76.3,43.6,0.6,38.5,704,Balanced
516,2.3,58.5,21.1,6.5,27.9,321,Balanced
504,32.7,60.0,2.9,3.0,20.8,815,Balanced
209,46.4,90.2,48.2,2.5,28.6,323,Unbalanced
294,40.7,82.0,18.6,8.3,33.5,624,Unbalanced
355,23.6,25.2,15.0,7.6,45.8,611,Balanced
62,24.2,81.6,43.2,1.0,5.7,657,Unbalanced
169,2.8,15.3,15.3,3.4,15.5,115,Unbalanced
63,49.9,89.6,35.3,7.5,14.0,503,Unbalanced
312,36.3,6.2,22.5,2.0,43.6,150,Unbalanced
247,37.2,22.8,37.6,7.6,39.2,756,Unbalanced
523,3.2,6.4,37.8,2.6,32.2,73,Unbalanced
398,29.7,57.1,19.4,2.5,32.0,677,Balanced
84,12.6,87.0,9.9,3.4,22.9,16,Unbalanced
482,27.7,13.9,20.0,2.3,40.3,808,Unbalanced
413,26.4,37.9,26.7,9.2,33.1,912,Balanced
173,39.3,67.9,1.1,3.6,20.4,709,Unbalanced
328,45.3,75.6,42.2,1.7,46.9,704,Unbalanced
336,8.7,71.0,14.2,7.5,21.1,63,Balanced
201,4.7,34.9,8.0,5.8,41.0,191,Unbalanced
77,7.4,77.1,18.9,9.9,5.0,471,Unbalanced
188,21.4,42.9,26.6,0.6,2.2,850,Unbalanced
210,14.8,82.1,27.3,0.7,44.2,777,Unbalanced
596,28.0,79.8,14.1,5.7,29.8,212,Balanced
332,42.7,5.9,33.4,1.7,38.7,362,Unbalanced
443,10.6,83.6,41.2,5.4,3.8,91,Balanced
94,41.6,83.1,2.6,5.1,11.4,698,Balanced
326,33.6,44.6,16.9,8.4,49.7,685,Balanced
338,49.6,36.4,21.7,4.7,29.0,689,Unbalanced
515,19.5,38.5,40.0,6.5,0.3,544,Balanced
395,31.0,66.4,26.0,9.3,8.1,550,Balanced
337,21.0,25.9,16.1,4.0,5.7,472,Balanced
175,36.8,53.4,35.0,1.8,25.8,559,Unbalanced
434,29.6,77.8,49.1,8.8,8.4,477,Balanced
561,45.1,97.0,12.7,0.7,33.7,970,Balanced
560,1.0,22.7,4.3,9.8,27.4,298,Unbalanced
208,34.7,83.7,26.5,2.1,18.0,46,Unbalanced
155,43.7,7.9,49.9,0.4,1.9,375,Unbalanced
594,4.1,7.4,8.5,3.0,28.2,764,Unbalanced
239,12.4,64.1,29.2,1.0,42.0,677,Unbalanced
458,35.0,71.7,47.9,6.2,23.2,264,Balanced
222,9.0,80.7,42.7,7.0,3.5,254,Balanced
410,4.7,52.3,21.2,9.3,39.7,225,Balanced
176,8.8,81.9,40.7,3.8,6.8,33,Balanced
523,7.6,13.0,25.8,1.9,13.5,931,Unbalanced
514,44.7,87.5,37.6,7.5,37.5,308,Balanced
154,35.1,99.5,37.0,3.2,47.9,768,Unbalanced
483,47.9,66.7,7.9,3.6,28.4,853,Balanced
230,41.5,40.2,46.6,7.8,40.9,160,Unbalanced
479,17.2,38.4,48.1,9.5,33.1,456,Balanced
64,32.9,58.3,28.8,2.3,44.3,252,Unbalanced
171,16.9,25.4,6.9,4.0,43.2,719,Balanced
109,12.8,34.7,49.4,7.4,38.6,381,Unbalanced
171,30.4,5.7,5.7,6.1,22.5,982,Balanced
591,42.8,92.1,19.7,4.0,16.9,827,Balanced
559,2.6,50.6,9.4,7.2,36.9,698,Unbalanced
233,37.0,41.9,8.2,3.4,20.6,906,Balanced
323,34.6,65.4,6.3,4.3,27.1,327,Unbalanced
205,37.4,43.4,10.7,3.7,8.3,814,Unbalanced
539,44.2,18.6,33.6,8.2,29.3,825,Balanced
558,8.8,65.1,15.3,3.3,34.6,884,Balanced
160,2.6,45.6,10.3,4.9,30.4,607,Unbalanced
231,33.8,57.6,35.7,6.6,12.8,113,Unbalanced
151,23.2,79.2,43.5,1.1,31.3,659,Unbalanced
448,47.6,62.4,37.3,1.9,47.1,457,Unbalanced
567,22.6,78.5,2.5,9.4,4.6,900,Balanced
511,11.9,61.1,2.2,4.3,9.6,743,Balanced
186,37.9,25.9,16.7,8.4,24.4,64,Balanced
92,28.3,36.4,4.5,7.6,4.4,140,Unbalanced
430,33.7,40.7,27.9,6.6,46.9,714,Balanced
285,2.2,16.4,25.4,9.5,2.3,626,Balanced
173,28.6,48.3,10.8,5.6,31.9,563,Unbalanced
308,40.3,52.1,9.2,9.9,11.4,146,Balanced
104,13.5,34.2,35.1,2.5,44.7,773,Unbalanced
428,46.9,68.3,3.4,4.5,30.6,644,Balanced
351,8.7,23.3,2.2,0.3,22.3,444,Unbalanced
375,48.3,23.4,27.2,8.2,46.6,330,Unbalanced
565,33.9,48.3,10.1,9.7,44.6,140,Balanced
64,48.3,45.5,32.5,2.4,31.3,907,Unbalanced
435,6.2,83.1,44.4,0.1,26.3,685,Unbalanced
281,17.8,34.8,36.5,1.9,16.6,957,Balanced
101,36.2,89.7,29.4,1.6,11.5,657,Unbalanced
424,1.0,54.6,13.1,4.8,2.4,544,Balanced
341,5.3,11.8,47.0,8.1,0.9,646,Balanced
290,35.4,67.5,35.9,7.4,49.0,909,Unbalanced
404,16.5,86.9,34.5,9.9,22.4,72,Balanced
452,7.9,24.0,27.0,8.5,38.7,666,Unbalanced
150,45.3,70.0,23.7,9.1,13.7,382,Unbalanced
225,3.5,72.3,47.0,3.4,49.4,816,Unbalanced
320,46.8,94.5,38.7,6.5,39.4,875,Unbalanced
262,3.6,41.5,31.8,2.1,21.4,208,Unbalanced
52,9.3,63.3,16.0,5.1,7.9,981,Unbalanced
569,26.3,85.9,11.3,2.1,19.5,946,Balanced
253,41.7,97.0,33.7,2.8,15.4,132,Unbalanced
74,31.9,65.1,7.2,7.7,30.9,295,Unbalanced
509,39.9,11.5,12.0,5.9,32.5,981,Balanced
382,47.0,62.4,5.1,7.5,45.4,503,Unbalanced
305,11.4,74.6,30.2,3.9,48.0,39,Balanced
409,25.6,52.2,27.5,5.3,45.8,411,Balanced
510,32.8,43.4,11.8,3.2,49.9,480,Balanced
470,34.6,98.2,11.4,5.2,17.4,246,Balanced
464,18.1,70.7,48.3,0.6,10.0,530,Balanced
351,27.0,18.9,13.1,6.8,35.2,599,Balanced
490,8.2,92.5,41.6,9.4,31.7,525,Unbalanced
164,8.3,84.7,13.1,3.9,48.4,254,Balanced
64,46.3,26.7,15.5,1.1,13.7,24,Unbalanced
74,18.9,82.1,40.5,0.6,45.9,994,Unbalanced
335,15.3,10.9,28.0,9.0,12.9,995,Balanced
416,36.0,98.3,39.2,4.9,6.4,631,Balanced
374,9.4,20.4,42.2,3.8,46.2,804,Balanced
167,36.7,94.9,17.3,4.1,7.4,931,Unbalanced
180,22.4,17.0,43.6,1.5,49.9,166,Unbalanced
354,43.0,72.5,21.8,9.2,24.3,242,Unbalanced
507,23.5,69.2,9.7,2.6,39.2,196,Balanced
418,39.4,92.0,27.0,8.3,0.2,96,Balanced
311,21.6,12.3,32.4,2.9,45.3,115,Unbalanced
515,38.3,46.1,23.8,3.9,46.6,434,Balanced
344,43.4,99.3,18.3,7.1,14.7,491,Unbalanced
149,39.8,13.1,18.8,1.3,12.7,357,Unbalanced
395,36.0,65.9,8.7,4.0,35.5,449,Unbalanced
55,36.0,62.2,43.9,6.7,17.1,606,Unbalanced
402,17.7,43.3,49.0,7.9,38.5,697,Balanced
496,11.2,89.2,36.1,3.6,29.6,538,Unbalanced
290,28.5,88.5,21.5,0.0,14.6,243,Unbalanced
65,24.7,8.5,48.5,7.2,34.4,115,Balanced
590,11.5,90.0,13.5,2.0,31.8,512,Balanced
311,21.3,23.1,29.5,9.5,49.2,683,Balanced
141,5.6,65.9,9.4,3.0,41.6,522,Balanced
296,47.2,28.2,34.1,2.7,15.0,603,Unbalanced
505,21.0,51.5,14.2,8.6,27.6,693,Balanced
145,18.5,82.0,21.7,9.9,39.0,371,Unbalanced
468,7.6,12.1,49.2,7.5,18.1,321,Unbalanced
586,3.9,77.0,27.3,9.8,33.1,192,Balanced
296,33.0,85.7,19.6,1.5,48.5,385,Unbalanced
89,46.9,24.2,46.2,9.9,40.7,187,Unbalanced
192,46.6,74.5,27.9,0.5,5.4,271,Unbalanced
363,4.8,30.3,38.2,5.1,28.2,230,Unbalanced
354,37.1,59.3,6.7,0.5,1.9,121,Unbalanced
566,20.0,36.1,23.9,4.7,36.9,654,Balanced
532,18.1,6.2,35.0,4.9,16.8,714,Balanced
591,42.9,13.8,35.6,0.4,43.8,104,Unbalanced
89,45.2,75.9,19.9,2.1,17.1,306,Unbalanced
442,49.5,41.8,41.7,0.1,30.8,243,Unbalanced
272,25.9,33.5,48.5,7.1,42.2,505,Balanced
570,36.9,12.0,18.5,4.8,6.8,847,Balanced
239,34.0,35.4,9.1,2.6,41.2,753,Balanced
446,34.6,63.5,36.3,9.2,21.2,628,Balanced
552,20.2,49.8,6.0,0.2,33.5,438,Unbalanced
329,15.9,6.6,12.5,6.0,49.9,999,Balanced
502,3.8,29.3,5.1,3.8,17.4,398,Unbalanced
382,48.2,16.6,6.9,7.9,32.2,80,Unbalanced
130,20.6,70.3,19.7,7.0,34.2,691,Unbalanced
373,32.0,66.1,3.2,5.0,20.3,89,Balanced
404,32.6,99.1,36.5,9.6,39.0,246,Balanced
557,30.2,26.7,11.4,1.9,36.0,466,Unbalanced
560,11.3,44.4,33.8,5.0,6.5,109,Balanced
243,27.7,27.9,16.1,9.4,2.8,928,Balanced
326,26.1,88.7,1.5,4.9,1.2,910,Balanced
389,6.9,37.3,21.8,6.3,22.2,136,Unbalanced
158,47.8,82.8,19.2,3.7,41.2,487,Unbalanced
231,5.1,68.1,10.0,7.5,14.5,370,Unbalanced
523,4.0,86.5,10.1,2.8,37.4,63,Unbalanced
148,49.2,21.2,24.1,7.1,9.7,253,Balanced
463,37.7,22.3,3.2,2.5,22.6,632,Unbalanced
175,26.4,67.6,31.1,6.8,39.9,896,Unbalanced
366,40.1,88.0,19.1,3.2,22.6,990,Unbalanced
147,10.8,12.4,2.1,4.7,10.9,767,Balanced
504,14.3,79.1,18.8,2.6,36.8,348,Balanced
71,4.2,30.6,27.1,1.7,20.5,47,Unbalanced
266,32.2,5.2,18.2,2.0,0.1,495,Unbalanced
220,31.6,23.8,29.6,2.3,22.8,548,Unbalanced
277,47.4,79.2,6.1,9.8,30.5,129,Unbalanced
96,10.5,18.5,12.5,9.6,40.1,692,Unbalanced
388,23.0,9.1,49.5,3.2,41.3,782,Balanced
477,45.3,13.0,38.1,6.7,32.3,995,Unbalanced
453,49.8,38.7,17.6,5.6,15.5,147,Balanced
205,1.4,54.0,41.3,7.9,23.7,335,Unbalanced
491,29.3,11.2,31.2,10.0,8.9,189,Balanced
61,47.9,89.8,48.3,0.4,33.7,546,Unbalanced
543,24.0,42.5,42.8,2.3,23.2,305,Unbalanced
434,24.2,62.4,30.6,0.7,47.1,656,Balanced
145,20.9,78.7,38.4,4.3,44.4,411,Unbalanced
550,41.2,37.6,45.0,3.3,15.2,492,Balanced
217,47.8,79.4,14.5,7.6,21.6,406,Unbalanced
173,24.6,19.5,28.8,2.3,0.8,635,Balanced
337,9.0,43.6,22.7,0.1,12.3,976,Balanced
280,36.6,28.3,11.6,0.3,39.8,201,Unbalanced
338,22.5,83.6,48.7,6.3,44.9,398,Balanced
209,29.0,30.1,18.3,0.3,49.2,403,Unbalanced
577,23.5,40.3,17.8,1.8,30.4,665,Balanced
440,42.9,20.8,39.0,3.4,32.5,677,Unbalanced
254,3.0,14.2,40.6,9.4,31.5,694,Unbalanced
351,14.0,49.7,47.9,0.8,26.9,472,Balanced
424,4.0,28.6,47.8,5.4,29.3,527,Unbalanced
508,13.1,29.6,47.7,8.4,31.7,743,Balanced
331,26.4,42.8,27.2,2.9,41.8,650,Balanced
590,38.6,21.3,5.0,1.1,37.3,164,Unbalanced
563,46.6,89.5,34.4,6.1,8.6,528,Balanced
177,19.7,74.0,14.2,9.9,5.3,943,Unbalanced
332,40.4,40.4,1.4,9.6,45.2,836,Balanced
292,14.1,77.0,13.9,7.0,44.7,615,Balanced
420,42.9,43.4,8.6,9.1,32.7,593,Unbalanced
285,27.0,72.0,19.9,2.5,22.0,504,Unbalanced
538,37.4,88.4,13.4,0.8,20.3,400,Balanced
517,25.6,85.3,3.9,6.2,25.5,721,Balanced
429,15.2,49.4,26.4,8.2,5.9,92,Balanced
246,46.6,42.4,23.2,1.2,37.6,372,Unbalanced
261,25.5,69.4,38.4,9.3,27.9,118,Unbalanced
83,14.1,50.8,12.9,9.9,31.9,702,Unbalanced
84,40.2,89.2,30.2,5.6,27.2,688,Unbalanced
548,33.7,89.8,3.5,0.7,24.3,809,Unbalanced
277,9.3,93.1,18.7,2.8,39.6,376,Unbalanced
89,16.0,95.9,8.1,8.9,27.4,343,Unbalanced
454,4.6,58.3,28.2,6.8,25.9,149,Balanced
164,2.5,49.0,41.2,5.8,14.1,982,Unbalanced
432,34.9,20.7,10.9,8.5,11.2,335,Balanced
455,41.3,19.6,42.7,9.8,15.5,942,Unbalanced
58,42.4,46.9,5.1,4.8,45.7,581,Unbalanced
399,20.9,12.5,15.7,2.9,6.3,738,Balanced
249,18.4,83.5,36.7,4.5,16.3,426,Balanced
110,21.0,31.2,43.4,8.5,39.0,677,Unbalanced
289,11.6,77.4,27.6,5.2,36.7,922,Balanced
234,10.1,30.2,44.6,6.9,42.5,432,Balanced
95,49.5,68.1,33.3,3.7,20.3,699,Unbalanced
401,16.3,52.4,16.2,5.6,38.7,891,Balanced
192,27.4,78.0,3.6,1.2,49.2,612,Unbalanced
109,13.3,83.2,39.2,8.2,19.6,538,Unbalanced
462,47.3,21.4,8.3,8.5,30.4,35,Unbalanced
235,17.2,49.4,34.2,6.4,21.3,637,Balanced
73,18.5,98.6,28.8,1.3,49.3,377,Unbalanced
495,20.4,30.7,21.9,1.8,40.9,52,Unbalanced
300,30.1,40.4,49.6,9.5,38.1,570,Balanced
113,49.0,14.6,26.3,4.4,22.1,22,Balanced
390,45.2,9.9,28.1,7.2,33.7,154,Unbalanced
223,39.6,33.9,43.1,5.0,18.2,496,Balanced
151,6.6,73.0,9.7,2.1,30.0,102,Unbalanced
308,26.3,81.9,46.7,7.3,20.2,573,Balanced
252,1.8,50.9,4.7,0.3,2.2,486,Unbalanced
561,44.5,6.9,19.9,5.1,30.6,870,Balanced
219,40.4,61.9,4.8,8.2,45.4,195,Unbalanced
287,23.0,77.0,46.7,0.6,37.5,271,Unbalanced
324,3.5,52.2,17.8,8.2,1.7,801,Balanced
278,48.3,45.0,46.1,6.2,13.1,773,Balanced
203,44.6,23.1,45.8,1.1,25.8,40,Unbalanced
204,5.9,8.8,20.6,5.0,15.9,992,Balanced
251,2.5,15.9,41.6,8.0,31.9,291,Unbalanced
195,49.9,86.5,29.3,2.6,34.5,754,Unbalanced
411,2.2,73.7,37.2,0.7,9.0,27,Unbalanced
338,10.8,92.5,31.3,4.1,38.0,196,Balanced
220,22.9,97.5,25.2,2.1,35.3,36,Unbalanced
310,19.7,27.8,3.5,2.5,43.9,863,Unbalanced
314,15.1,40.8,21.9,1.9,1.8,394,Balanced
586,20.8,29.8,7.8,4.7,49.2,703,Balanced
567,39.7,71.5,12.5,2.1,14.3,776,Balanced
235,23.7,53.8,22.8,7.9,32.2,104,Unbalanced
509,19.8,58.7,45.5,8.3,13.1,140,Balanced
416,26.1,7.5,10.2,2.2,40.0,83,Balanced
415,30.6,54.3,47.3,8.0,33.1,852,Balanced
131,12.4,78.0,39.7,3.6,20.0,884,Unbalanced
583,30.2,28.0,19.7,7.1,0.2,415,Balanced
349,21.5,93.2,31.5,1.1,48.1,805,Unbalanced
156,17.6,23.9,45.3,6.6,34.3,336,Balanced
127,36.9,23.2,26.4,5.4,16.5,989,Unbalanced
54,13.0,88.6,16.4,7.0,9.3,95,Unbalanced
327,33.8,24.7,49.1,5.1,9.4,322,Unbalanced
364,41.0,31.3,41.1,5.4,17.1,392,Unbalanced
506,36.7,65.4,39.3,4.6,31.5,729,Balanced
396,36.7,23.4,29.0,4.8,15.1,500,Unbalanced
509,2.8,76.6,11.7,5.7,34.9,948,Balanced
70,8.5,28.8,35.6,6.8,20.1,43,Unbalanced
203,12.4,15.3,12.9,9.9,8.7,588,Balanced
389,39.7,47.8,6.4,3.6,15.1,797,Balanced
51,41.3,62.4,49.4,7.7,20.2,866,Unbalanced
524,21.1,64.3,48.7,0.9,18.2,310,Balanced
271,33.9,25.9,1.9,5.2,33.7,737,Unbalanced
82,43.5,52.1,40.5,0.3,12.2,379,Unbalanced
274,13.6,39.2,16.3,5.1,5.7,205,Balanced
403,37.0,6.4,34.9,0.6,25.7,888,Unbalanced
286,31.1,84.3,36.0,0.4,9.3,467,Unbalanced
337,4.9,47.8,12.1,8.0,21.1,455,Balanced
387,38.1,74.7,28.3,1.1,19.8,596,Unbalanced
408,36.3,21.0,30.5,3.4,27.7,609,Unbalanced
155,10.1,35.1,12.2,5.7,33.9,640,Balanced
545,44.3,16.1,18.1,9.3,30.6,704,Balanced
411,24.9,90.9,34.3,4.1,49.4,231,Balanced
107,38.9,77.4,7.0,4.3,37.1,642,Unbalanced
548,27.3,74.3,9.1,3.9,41.6,486,Balanced
594,47.8,56.6,18.3,2.3,4.2,429,Balanced
57,13.8,25.9,49.8,7.6,0.5,922,Balanced
230,1.1,9.5,47.7,1.6,24.1,667,Unbalanced
177,1.2,35.1,12.8,7.9,27.2,409,Unbalanced
596,26.4,56.6,17.1,9.7,30.6,840,Balanced
210,19.9,39.2,14.6,9.4,40.8,687,Unbalanced
250,18.6,62.7,7.4,1.8,5.3,542,Balanced
565,48.8,97.5,43.6,2.9,11.8,316,Balanced
551,6.9,47.4,18.2,7.6,10.2,282,Balanced
352,33.9,48.2,44.3,4.7,21.6,376,Balanced
574,16.0,88.6,10.6,9.3,7.6,185,Balanced
380,46.8,34.0,14.6,1.4,19.1,586,Unbalanced
330,5.5,81.7,47.3,9.7,24.2,611,Unbalanced
516,48.5,19.4,26.3,4.5,14.6,716,Unbalanced
202,14.4,91.2,3.9,8.4,9.9,858,Balanced
309,23.6,8.5,12.7,10.0,12.3,441,Balanced
222,47.4,89.3,1.1,0.4,40.1,589,Unbalanced
134,2.2,53.2,22.4,2.1,0.6,198,Unbalanced
56,17.6,41.4,24.8,4.1,8.2,145,Unbalanced
599,43.5,95.8,46.0,3.9,38.4,140,Balanced
56,30.1,31.6,13.8,9.9,40.5,292,Unbalanced
232,23.4,55.9,21.4,5.3,15.3,604,Unbalanced
307,45.2,59.7,37.7,5.8,2.6,576,Balanced
114,7.1,22.8,29.9,3.2,12.4,468,Balanced
590,30.4,90.3,13.2,1.7,42.6,942,Balanced
516,30.1,27.8,39.8,5.6,19.0,481,Balanced
581,49.9,97.3,5.9,0.1,47.6,448,Unbalanced
169,7.8,72.2,31.0,2.0,28.7,958,Unbalanced
144,6.7,99.2,1.5,3.3,37.5,345,Balanced
148,26.7,38.2,41.5,6.2,23.5,800,Unbalanced
175,29.6,9.9,46.0,0.2,28.5,379,Unbalanced
416,25.4,25.7,43.9,5.3,21.7,401,Balanced
393,6.0,86.0,40.0,4.0,39.4,890,Unbalanced
270,42.5,77.0,10.4,9.6,37.0,108,Balanced
204,37.7,55.9,47.9,4.2,14.3,866,Unbalanced
203,24.5,20.1,14.0,3.9,25.2,961,Unbalanced
557,5.8,90.9,13.4,3.9,46.3,509,Balanced
486,33.8,21.6,34.7,3.7,22.9,980,Balanced
385,39.5,35.8,13.3,8.9,46.7,790,Balanced
491,47.4,65.6,31.9,3.5,32.8,94,Balanced
141,34.4,5.6,12.0,3.9,43.3,923,Unbalanced
236,11.6,62.9,27.4,2.7,14.6,422,Unbalanced
358,14.9,95.1,15.4,8.0,14.5,366,Balanced
150,35.0,86.7,14.9,5.7,16.7,94,Unbalanced
109,25.6,10.2,44.0,1.6,2.7,962,Unbalanced
530,10.8,37.6,6.8,1.8,32.9,74,Unbalanced
212,26.8,29.3,15.4,9.0,25.2,1000,Balanced
573,30.2,14.8,8.4,7.0,13.0,393,Balanced
466,12.4,36.2,8.9,2.9,2.1,723,Balanced
301,27.9,92.3,19.8,8.5,22.4,351,Unbalanced
526,48.5,46.8,25.1,6.4,7.5,632,Balanced
359,22.3,74.3,8.0,8.5,42.3,747,Balanced
61,47.6,80.1,34.3,3.1,36.8,383,Unbalanced
497,5.3,9.3,49.6,8.9,21.7,85,Unbalanced
462,29.8,34.7,13.8,3.6,32.7,957,Balanced
560,48.2,85.4,42.1,8.9,28.9,163,Balanced
187,29.1,14.8,3.7,6.1,44.6,158,Unbalanced
325,18.9,55.7,49.8,8.3,2.7,630,Balanced
453,48.9,28.8,9.4,2.2,10.6,774,Unbalanced
63,39.6,86.5,42.0,1.7,37.3,949,Unbalanced
599,41.6,51.5,33.0,1.8,5.6,768,Balanced
180,5.0,14.7,21.4,0.5,11.7,633,Unbalanced
457,32.2,47.8,47.2,2.5,34.9,225,Unbalanced
423,21.5,61.3,3.6,2.6,33.1,310,Balanced
559,36.9,56.1,41.6,0.2,7.9,514,Balanced
93,1.4,70.8,47.6,7.6,47.9,843,Unbalanced
341,41.8,80.6,11.6,0.5,4.0,845,Balanced
379,40.4,93.6,28.0,4.4,7.9,899,Balanced
205,21.9,93.7,31.7,9.4,27.0,349,Unbalanced
243,30.9,67.6,21.3,3.2,37.2,170,Unbalanced
237,24.0,34.5,34.4,4.8,44.4,203,Balanced
213,25.2,33.0,5.7,1.8,13.5,288,Balanced
118,31.9,86.6,41.3,5.0,20.6,618,Unbalanced
585,39.7,81.8,15.6,8.7,24.7,910,Balanced
221,3.6,46.9,22.7,4.8,5.0,885,Balanced
380,6.3,77.4,40.8,1.9,34.7,243,Unbalanced
65,32.3,54.6,33.3,2.2,10.0,359,Unbalanced
480,7.2,7.2,34.1,4.6,30.2,36,Unbalanced
271,45.3,43.5,16.6,4.0,6.3,849,Balanced
420,20.8,84.1,1.7,1.3,41.7,207,Unbalanced
95,16.5,34.3,47.4,2.9,9.5,460,Unbalanced
144,9.9,42.0,21.3,3.9,33.1,187,Balanced
519,39.4,86.2,7.4,1.2,18.7,172,Unbalanced
60,35.0,12.1,18.9,0.1,1.7,417,Unbalanced
102,28.2,60.6,39.6,7.3,42.1,404,Unbalanced
419,22.8,33.2,17.7,1.2,21.8,438,Unbalanced
239,8.0,56.0,27.2,9.4,8.9,888,Balanced
552,40.6,52.9,30.0,6.4,14.8,307,Balanced
400,36.4,48.8,19.9,5.3,7.3,431,Balanced
375,6.4,62.0,46.9,7.5,44.8,722,Unbalanced
394,21.0,15.1,1.4,4.3,19.2,138,Balanced
102,39.6,25.2,47.7,6.9,28.7,320,Unbalanced
102,36.6,92.2,9.0,4.8,26.6,550,Unbalanced
134,6.4,42.6,40.4,7.2,29.5,741,Balanced
324,25.5,87.5,47.4,2.1,48.0,962,Unbalanced
383,33.5,64.8,12.0,8.2,39.2,631,Balanced
540,31.6,10.8,24.0,8.6,4.3,141,Balanced
553,8.0,95.0,15.5,2.4,24.7,847,Unbalanced
214,5.8,33.1,6.4,2.3,10.6,535,Balanced
108,33.8,64.8,18.2,2.0,8.8,82,Unbalanced
232,25.2,29.4,13.3,3.1,35.4,867,Balanced
131,43.1,24.0,13.3,3.2,2.3,630,Balanced
527,31.7,17.8,8.8,6.4,12.9,377,Balanced
135,45.4,38.8,44.6,4.5,49.9,785,Unbalanced
486,9.6,66.5,8.2,0.3,21.7,746,Unbalanced
336,41.7,51.4,47.3,4.3,3.6,190,Balanced
364,36.8,81.5,2.3,6.3,45.8,644,Unbalanced
459,20.4,29.2,17.4,5.9,34.9,522,Balanced
392,49.1,8.6,17.5,0.9,22.1,786,Unbalanced
303,31.8,6.7,18.3,6.6,11.1,30,Unbalanced
109,15.0,90.3,30.1,6.9,14.4,70,Unbalanced
77,45.6,84.5,42.6,1.3,1.2,851,Unbalanced
582,47.2,61.8,10.3,6.5,31.7,559,Balanced
60,42.9,67.8,45.9,5.0,41.7,799,Unbalanced
250,49.0,30.9,23.0,9.4,43.2,453,Balanced
118,34.8,20.4,27.1,3.7,22.7,914,Unbalanced
201,19.6,82.4,29.9,3.9,2.9,540,Balanced
520,41.4,31.3,28.0,2.7,21.7,343,Unbalanced
